%
%
% Run:wwm   Table:BUOYS             SWAN version:41.51
%
%       Hsig          Tm01          Tm02          Dspr          Dir           RTpeak        TPsmoo        Dist          Depth         Botlev      X-Windv       Y-Windv         Watlev   
%       [m]           [sec]         [sec]         [degr]        [degr]        [sec]         [sec]         [m]           [m]           [m]           [m/s]         [m/s]         [m]      
%
      0.00511        1.2841        1.0940       31.5042       243.506        1.5772        1.5500            0.        3.1959        2.6959       -3.3609       -6.7407        0.5000 
      0.00515        1.2841        1.0940       31.5043       243.236        1.5772        1.5500           64.        3.5038        3.0038       -3.4150       -6.7691        0.5000 
      0.00515        1.2841        1.0940       31.5043       243.234        1.5772        1.5500          110.        2.1989        1.6989       -3.4182       -6.7746        0.5000 
      0.00518        1.2841        1.0940       31.5045       243.013        1.5772        1.5500          166.        3.1985        2.6985       -3.4617       -6.7957        0.5000 
      0.00390        1.2841        1.0940       31.5038       305.544        1.5772        1.5500        69765.        9.4982        8.9982        3.4207       -4.7872        0.5000 
      0.00391        1.2841        1.0940       31.5041       306.276        1.5772        1.5500        69937.        6.5012        6.0012        3.4936       -4.7591        0.5000 
      0.00391        1.2841        1.0940       31.5038       305.554        1.5772        1.5500        70077.        7.2997        6.7997        3.4343       -4.8044        0.5000 
      0.00164        1.2841        1.0940       31.5048       337.611        1.5772        1.5500       114031.        1.5000        1.0000        2.4840       -1.0229        0.5000 
      0.00164        1.2841        1.0940       31.5048       337.598        1.5772        1.5500       114099.        1.5000        1.0000        2.4772       -1.0208        0.5000 
      0.00165        1.2841        1.0940       31.5049       337.662        1.5772        1.5500       114156.        1.5000        1.0000        2.4901       -1.0228        0.5000 
      0.00232        1.2841        1.0940       31.5039        15.887        1.5772        1.5500       122532.        4.3996        3.8996        3.5385        1.0075        0.5000 
      0.00233        1.2841        1.0940       31.5041        16.242        1.5772        1.5500       122599.        4.7998        4.2998        3.5423        1.0323        0.5000 
      0.00233        1.2841        1.0940       31.5040        16.130        1.5772        1.5500       122657.        4.5000        4.0000        3.5411        1.0244        0.5000 
      1.82894        8.7875        6.8558       19.5920       219.729       20.2338       20.1755            0.        3.1959        2.6959        2.0244       -1.2087        0.5000 
      1.86544        8.9356        6.9863       25.2338       224.342       20.2338       20.1769           64.        3.5038        3.0038        2.0152       -1.2267        0.5000 
      1.60108        8.8425        6.8254       32.5168       236.465       20.2338       20.1837          110.        2.1989        1.6989        2.0306       -1.2187        0.5000 
      1.77751        8.7939        6.8348       25.6527       236.631       20.2338       20.1787          166.        3.1985        2.6985        2.0161       -1.2372        0.5000 
      2.44412        8.9590        6.7416       21.8207       236.176       20.2338       20.2479        69765.        9.4982        8.9982        2.6478       -3.3455        0.5000 
      2.45406        9.2890        7.0343       18.5426       233.774       20.2338       20.2529        69937.        6.5012        6.0012        2.6470       -3.3742        0.5000 
      2.52289        9.2887        7.0193       21.9628       233.337       20.2338       20.2510        70077.        7.2997        6.7997        2.6500       -3.3508        0.5000 
      0.11281        0.8726        0.7526       24.4330       320.642        1.1999        1.1592       114031.        1.5000        1.0000        2.6568       -2.3460        0.5000 
      0.13628        0.8787        0.7583       27.9516       312.595        1.1999        1.1648       114099.        1.5000        1.0000        2.6517       -2.3461        0.5000 
      0.11944        0.8834        0.7619       26.1305       313.376        1.1999        1.1743       114156.        1.5000        1.0000        2.6591       -2.3457        0.5000 
      0.73755        9.2230        4.7791       28.2376       276.982       20.2338       20.1228       122532.        4.3996        3.8996        4.0202       -2.9066        0.5000 
      0.73413        9.1041        4.7129       27.8806       278.461       20.2338       20.1225       122599.        4.7998        4.2998        4.0412       -2.9249        0.5000 
      0.74875        9.2049        4.7765       28.3301       278.802       20.2338       20.1222       122657.        4.5000        4.0000        4.0310       -2.9147        0.5000 
      1.82192        8.5625        6.7291       19.3928       219.204       20.2338       20.1870            0.        3.1959        2.6959        3.6687       -2.0322        0.5000 
      1.85873        8.7133        6.8691       25.0825       223.637       20.2338       20.1878           64.        3.5038        3.0038        3.6806       -2.0312        0.5000 
      1.59074        8.6174        6.7119       32.5098       235.672       20.2338       20.1928          110.        2.1989        1.6989        3.6814       -2.0294        0.5000 
      1.77043        8.5922        6.7420       25.6403       235.863       20.2338       20.1888          166.        3.1985        2.6985        3.6909       -2.0294        0.5000 
      2.49234        8.6547        6.5487       22.1088       234.178       20.2338       20.2249        69765.        9.4982        8.9982        2.9916       -3.6284        0.5000 
      2.49343        8.9919        6.8680       18.7285       232.215       20.2338       20.2302        69937.        6.5012        6.0012        2.9813       -3.6565        0.5000 
      2.56345        8.9839        6.8289       22.1901       231.483       20.2338       20.2285        70077.        7.2997        6.7997        2.9829       -3.6355        0.5000 
      0.07296        1.0255        0.8832       13.1270       312.897        1.4398        1.4022       114031.        1.5000        1.0000        1.9640       -1.7423        0.5000 
      0.07653        1.0283        0.8862       13.9465       309.150        1.4398        1.4013       114099.        1.5000        1.0000        1.9594       -1.7384        0.5000 
      0.07609        1.0307        0.8885       13.5555       310.442        1.4398        1.4026       114156.        1.5000        1.0000        1.9665       -1.7385        0.5000 
      1.37096        8.4944        5.9359       26.6202       273.536       20.2338       20.1003       122532.        4.3996        3.8996        2.7847       -2.3890        0.5000 
      1.36286        8.4790        5.9047       27.2140       274.190       20.2338       20.0998       122599.        4.7998        4.2998        2.7986       -2.3994        0.5000 
      1.38630        8.4456        5.8901       27.2679       274.820       20.2338       20.0996       122657.        4.5000        4.0000        2.7927       -2.3952        0.5000 
      1.82035        8.5422        6.7188       19.4012       219.210       20.2338       20.1832            0.        3.1959        2.6959        3.0791       -0.7253        0.5000 
      1.85726        8.6923        6.8604       25.0878       223.645       20.2338       20.1841           64.        3.5038        3.0038        3.0890       -0.7226        0.5000 
      1.58931        8.5951        6.7014       32.5133       235.667       20.2338       20.1904          110.        2.1989        1.6989        3.0902       -0.7189        0.5000 
      1.76904        8.5729        6.7356       25.6492       235.860       20.2338       20.1853          166.        3.1985        2.6985        3.0979       -0.7183        0.5000 
      2.49220        8.6301        6.5413       22.1568       233.816       20.2338       20.2221        69765.        9.4982        8.9982        0.3744       -6.5843        0.5000 
      2.49256        8.9709        6.8724       18.7334       231.932       20.2338       20.2273        69937.        6.5012        6.0012        0.4481       -6.5415        0.5000 
      2.56293        8.9640        6.8378       22.2095       231.148       20.2338       20.2257        70077.        7.2997        6.7997        0.3419       -6.6115        0.5000 
      0.05035        0.9268        0.7962       12.6198       313.220        1.3144        1.2682       114031.        1.5000        1.0000        1.3910       -1.2482        0.5000 
      0.05305        0.9293        0.7985       13.1455       309.700        1.3144        1.2686       114099.        1.5000        1.0000        1.3854       -1.2451        0.5000 
      0.05291        0.9321        0.8010       12.8393       310.967        1.3144        1.2707       114156.        1.5000        1.0000        1.3923       -1.2463        0.5000 
      1.42716        8.1966        5.8803       27.1655       273.319       20.2338       20.0865       122532.        4.3996        3.8996        2.9456       -2.1549        0.5000 
      1.42150        8.1820        5.8550       27.8425       273.879       20.2338       20.0863       122599.        4.7998        4.2998        2.9631       -2.1669        0.5000 
      1.43881        8.1870        5.8739       27.8480       274.719       20.2338       20.0861       122657.        4.5000        4.0000        2.9588       -2.1613        0.5000 
      1.81892        8.5299        6.7159       19.4152       219.237       20.2338       20.1344            0.        3.1959        2.6959        2.4039       -1.6538        0.5000 
      1.85601        8.6811        6.8678       25.0895       223.675       20.2338       20.1362           64.        3.5038        3.0038        2.4168       -1.6517        0.5000 
      1.58826        8.5815        6.6965       32.5139       235.697       20.2338       20.1468          110.        2.1989        1.6989        2.4144       -1.6551        0.5000 
      1.76782        8.5589        6.7298       25.6566       235.885       20.2338       20.1395          166.        3.1985        2.6985        2.4262       -1.6519        0.5000 
      2.49026        8.6217        6.5327       22.1818       233.661       20.2338       20.2204        69765.        9.4982        8.9982       -0.0940       -7.8311        0.5000 
      2.49056        8.9709        6.8795       18.7317       231.809       20.2338       20.2256        69937.        6.5012        6.0012       -0.0846       -7.7827        0.5000 
